afp,factor,familia,mejor_lag_train,lag,corr_s_train,corr_p_train,n_train,corr_s_valid,corr_p_valid,n_valid,corr_s_test,corr_p_test,n_test,estable_train_valid,confirmada_en_test,score_pretest,nivel_relacion,direccion_relacion,ranking_pretest
Profuturo,ret_XLF,otros,0,0,0.3960133385086562,0.4665673416277429,1662,0.21684075942205885,0.23572962276963746,547,0.1441753580448002,0.19591467520167152,463,True,True,0.21684075942205885,debil_pero_estable,positiva,13
Profuturo,ret_XLI,otros,0,0,0.37516373103007117,0.43997831604664867,1662,0.2154568499595788,0.24011985483839615,547,0.2587883833601417,0.33055029208370246,463,True,True,0.2154568499595788,debil_pero_estable,positiva,14
Profuturo,ret_XLK,otros,0,0,0.37103401021304944,0.4364586167790598,1662,0.20727818332536835,0.2468795430398047,547,0.39031344577073324,0.4068714123638959,463,True,True,0.20727818332536835,debil_pero_estable,positiva,15
Profuturo,ret_QQQ,tecnologia_semiconductores,0,0,0.3777308881966772,0.43140563363186707,1662,0.1997445101503068,0.2408744530553171,547,0.35407540437517343,0.3707572757393187,463,True,True,0.1997445101503068,debil_pero_estable,positiva,16
Profuturo,ret_USO,otros,0,0,0.1988538545920964,0.25698525440361464,1662,0.20977662564820113,0.19577685596701339,547,-0.03042111310898083,-0.10853241432055412,463,True,False,0.1988538545920964,no_confirmada_en_test,positiva,17
Profuturo,ret_SPY,acciones_globales_usa,0,0,0.3782707335743371,0.429492065951136,1662,0.19563765342331904,0.23872211165781926,547,0.27073719458466605,0.3055705793933625,463,True,True,0.19563765342331904,debil_pero_estable,positiva,18
Profuturo,ret_CPER,otros,0,0,0.17359501759693907,0.15959750201496892,1662,0.2314357069024198,0.236470317766441,547,0.33844809208814564,0.3776366256889407,463,True,True,0.17359501759693907,debil_pero_estable,positiva,19
Profuturo,ret_EWJ,acciones_regionales,0,0,0.33822411269596186,0.3815443834819825,1662,0.16974641206349658,0.19448734046392843,547,0.3028548311746345,0.3861191180749843,463,True,True,0.16974641206349658,debil_pero_estable,positiva,20
Profuturo,ret_XLV,otros,0,0,0.31024505093020655,0.3618574693939492,1662,0.12360338789834777,0.1317989923126125,547,0.07652201079623436,0.1239530094535052,463,True,False,0.12360338789834777,no_confirmada_en_test,positiva,21
Profuturo,ret_XLP,otros,0,0,0.20331240094288938,0.26598547221242486,1662,0.10293104325584074,0.11630506660581331,547,0.00993201332070774,0.046086482323612774,463,True,False,0.10293104325584074,no_confirmada_en_test,positiva,22
Profuturo,ret_HYG,bonos_credito,0,0,0.18042111308769734,0.17884844731387903,1662,0.0849842853872798,0.10582167326670752,547,0.07373783585893512,0.07591121694953785,463,False,False,0.0849842853872798,sin_relacion_estable,positiva,23
Profuturo,ret_GLD,otros,0,0,-0.06057303184875349,-0.039597886621530014,1662,0.10657921189820466,0.11526457562530014,547,0.2776524138704819,0.4041738257844631,463,False,False,0.06057303184875349,sin_relacion_estable,negativa,24
Profuturo,ret_DX_Y_NYB,tipo_cambio,2,2,-0.05904263791594009,-0.06377905911020526,1653,-0.0546754440437515,-0.057920024286277405,545,0.007258172440300386,-0.0157183558380544,561,False,False,0.0546754440437515,sin_relacion_estable,negativa,25
Profuturo,ret_LQD,bonos_credito,1,1,0.03903592050739213,0.026614473525511124,1650,0.03550887186208288,0.04139822538478318,545,-0.022167338596238734,0.029792898626301106,370,False,False,0.03550887186208288,sin_relacion_estable,positiva,26
Profuturo,ret_PEN_X,tipo_cambio,0,0,-0.04018552144434013,-0.026002825985395158,1773,-0.012879215259849763,-0.016719681978504163,593,-0.011993229248241024,-0.01226081578472818,493,False,False,0.012879215259849763,sin_relacion_estable,negativa,27
Profuturo,fx_usdpen,tipo_cambio,0,0,-0.04018552144434013,-0.026002825985395158,1773,-0.012879215259849763,-0.016719681978504163,593,-0.011993229248241024,-0.01226081578472818,493,False,False,0.012879215259849763,sin_relacion_estable,negativa,28
Profuturo,ret_TLT,bonos_credito,0,0,-0.19766181073446182,-0.1945393724155668,1662,-0.0024042998195308737,0.025660399556205683,547,-0.007654304807429108,0.005760767096962036,463,False,False,0.0024042998195308737,sin_relacion_estable,negativa,29
