afp,modelo,segmento,tipo_features,parametros,n_publicacion,mape_cuota_5d_pct,mediana_error_abs_5d_pct,p90_error_abs_5d_pct,error_maximo_abs_5d_pct,sesgo_5d_pct,correlacion_retorno_acumulado,direccion_acumulada_pct
Habitat,MEDIA_EXPANSIVA,prueba,baseline,{},593,0.9995255386934312,0.7067574535548182,2.3700754111199744,6.117080446552592,-0.1729467136503868,0.0469585308199507,62.22596964586846
Integra,RETORNO_CERO,entrenamiento,baseline,{},1777,0.8297320587695003,0.61470284599624,1.7353684391970203,10.103491740408169,-0.109321859820961,,
Integra,RETORNO_CERO,validacion,baseline,{},593,0.8338534601295258,0.5646433313865828,1.653148074094542,9.512350056148,0.0052859247998619,,
Integra,RETORNO_CERO,prueba,baseline,{},593,1.0506052925984848,0.7143634913758135,2.5219787874523143,6.265881771959059,-0.2079192201021966,,
Integra,MEDIA_EXPANSIVA,entrenamiento,baseline,{},1717,0.8242254828531215,0.5990903544994985,1.7455966368246982,10.185843152707896,-0.0361104300078785,-0.056685583173976,58.24111822947
Integra,MEDIA_EXPANSIVA,validacion,baseline,{},593,0.8372048177640836,0.5697259905375729,1.6804134166204374,9.446042459011872,0.0866507952263213,-0.1106695223285328,51.433389544688026
Integra,MEDIA_EXPANSIVA,prueba,baseline,{},593,1.0410245711129298,0.7283298329718413,2.470406067538207,6.320763643878702,-0.1344529932953032,0.0159305357758131,58.68465430016864
Prima,RETORNO_CERO,entrenamiento,baseline,{},1777,0.8306300394463642,0.6194612214392103,1.736702532927046,10.51439331630666,-0.0940069992930212,,
Prima,RETORNO_CERO,validacion,baseline,{},593,0.7931913681015548,0.5902525395635516,1.6754554069130942,6.573613964200153,0.0047838157496878,,
Prima,RETORNO_CERO,prueba,baseline,{},593,1.0869260599641308,0.753237371448956,2.556067335732489,8.416653395295315,-0.1857827268687046,,
Prima,MEDIA_EXPANSIVA,entrenamiento,baseline,{},1717,0.8256821799307569,0.594931424483347,1.7484778654992053,10.582965115820976,-0.0290259705702548,-0.0586527865809156,58.24111822947
Prima,MEDIA_EXPANSIVA,validacion,baseline,{},593,0.7913128776388066,0.5776896847035973,1.643873306018145,6.702027779724373,0.0745457766572716,-0.1056691850951111,54.131534569983145
Prima,MEDIA_EXPANSIVA,prueba,baseline,{},593,1.0765067378979765,0.7484131173083108,2.553288438869934,8.478396736325266,-0.121081739004183,0.0224424292419037,59.52782462057336
Profuturo,RETORNO_CERO,entrenamiento,baseline,{},1777,0.8444054026320181,0.6368009292993859,1.7157380504972712,9.50369634400836,-0.1238887030370977,,
Profuturo,RETORNO_CERO,validacion,baseline,{},593,0.8412410293274828,0.6271827325626367,1.7069821334111706,7.152342397381761,-0.0086783624305542,,
Profuturo,RETORNO_CERO,prueba,baseline,{},593,1.0971413570388178,0.7873271196802811,2.618223017055464,7.091164421295981,-0.2005846841226252,,
Profuturo,MEDIA_EXPANSIVA,entrenamiento,baseline,{},1717,0.8361301961987995,0.6097454851730522,1.6920774169199235,9.599097692213077,-0.0303946124397301,-0.0570053728389406,59.114735002912056
Profuturo,MEDIA_EXPANSIVA,validacion,baseline,{},593,0.8425998555006567,0.6119208272646004,1.762329517622967,7.3251585243576445,0.0873983298426547,-0.0932479848028407,53.62563237774031
Profuturo,MEDIA_EXPANSIVA,prueba,baseline,{},593,1.0840097373838915,0.7392266837243588,2.594523288218876,7.266157708095999,-0.1087916581929749,-5.3825712193390126e-05,59.02192242833052
