fecha,afp,rendimiento_simple,modelo,esquema_rezago,estimado,error,error_cuadrado,error_absoluto
2025-12-01,Integra,0.0043122511898368,M0_sin_pesos,lag0,0.0002976579180998029,0.004014593271736998,1.611695913747597e-05,0.004014593271736998
2025-12-02,Integra,0.0044327007627107,M0_sin_pesos,lag0,0.0007763574026414971,0.0036563433600692026,1.3368846766722146e-05,0.0036563433600692026
2025-12-03,Integra,0.0065106801299994,M0_sin_pesos,lag0,0.0027503801732666738,0.003760299956732726,1.4139855764604141e-05,0.003760299956732726
2025-12-04,Integra,0.0040130464759036,M0_sin_pesos,lag0,0.001447234238664259,0.002565812237239341,6.583392436767151e-06,0.002565812237239341
2025-12-05,Integra,0.001727769885953,M0_sin_pesos,lag0,0.0010964395826578801,0.00063133030329512,3.985779518587082e-07,0.00063133030329512
2025-12-08,Integra,-0.0001839663392392,M0_sin_pesos,lag0,0.0002976579180998029,-0.0004816242573390029,2.319619252573461e-07,0.0004816242573390029
2025-12-09,Integra,0.0078776913406417,M0_sin_pesos,lag0,0.0006850622587169963,0.007192629081924704,5.173391311014901e-05,0.007192629081924704
2025-12-10,Integra,0.0080590446158004,M0_sin_pesos,lag0,0.002918190552815702,0.005140854062984698,2.6428380496906272e-05,0.005140854062984698
2025-12-11,Integra,0.0054958963775784,M0_sin_pesos,lag0,0.0018156731881438265,0.0036802231894345738,1.3544042724051987e-05,0.0036802231894345738
2025-12-12,Integra,-0.0104177205563475,M0_sin_pesos,lag0,-0.0025700029216678445,-0.007847717634679655,6.158667207366204e-05,0.007847717634679655
2025-12-15,Integra,-0.0019341253096875,M0_sin_pesos,lag0,0.0002976579180998029,-0.0022317832277873027,4.980856375832711e-06,0.0022317832277873027
2025-12-16,Integra,0.0052457867249955,M0_sin_pesos,lag0,-0.0002568162149838881,0.005502602939979388,3.0278639115069807e-05,0.005502602939979388
2025-12-17,Integra,-0.0084944364351622,M0_sin_pesos,lag0,-0.0018010336982613067,-0.006693402736900894,4.480164019835237e-05,0.006693402736900894
2025-12-18,Integra,0.0099075253601181,M0_sin_pesos,lag0,0.002623617781858332,0.007283907578259769,5.3055309608630094e-05,0.007283907578259769
2025-12-19,Integra,0.0131890538901471,M0_sin_pesos,lag0,0.0036783090528853687,0.00951074483726173,9.045426735950065e-05,0.00951074483726173
2025-12-22,Integra,0.0126173579310722,M0_sin_pesos,lag0,0.0002976579180998029,0.012319700012972397,0.00015177500840963208,0.012319700012972397
2025-12-23,Integra,0.0060811736825143,M0_sin_pesos,lag0,0.0017972178962386415,0.004283955786275658,1.835227717876469e-05,0.004283955786275658
2025-12-24,Integra,0.0011392062719846,M0_sin_pesos,lag0,0.0004551057378459223,0.0006841005341386777,4.6799354080882417e-07,0.0006841005341386777
2025-12-26,Integra,0.0069461695670816,M0_sin_pesos,lag0,0.0002972948141373189,0.006648874752944281,4.420753548033987e-05,0.006648874752944281
2025-12-29,Integra,-0.0087065849901395,M0_sin_pesos,lag0,0.0002976579180998029,-0.009004242908239302,8.107639035057777e-05,0.009004242908239302
2025-12-30,Integra,0.0045763045567759,M0_sin_pesos,lag0,0.00140980056072088,0.0031665039960550203,1.0026747557032412e-05,0.0031665039960550203
2025-12-31,Integra,-0.0055329314639387,M0_sin_pesos,lag0,-0.0015366489785288862,-0.003996282485409813,1.5970273703193236e-05,0.003996282485409813
2026-01-02,Integra,0.0141478765609168,M0_sin_pesos,lag0,0.0002906186816309806,0.013857257879285819,0.0001920235959330289,0.013857257879285819
2026-01-05,Integra,0.0169197576881554,M0_sin_pesos,lag0,0.0002976579180998029,0.016622099770055597,0.00027629420076568235,0.016622099770055597
2026-01-06,Integra,0.0184885931037088,M0_sin_pesos,lag0,0.003133237723542521,0.015355355380166278,0.00023578693885120146,0.015355355380166278
