escenario,periodo,fecha_cartera,afp,factor_proxy_mercado,peso_exterior,peso_total_fondo,identificadores,peso_exterior_pct,peso_total_fondo_pct
principal_5pct,2016-12,2016-12-30,Profuturo,TLT,0.0256284712088204,0.0155666343313784,1,2.56284712088204,1.55666343313784
principal_5pct,2016-12,2016-12-30,Profuturo,VGK,0.1475121314805515,0.0895982983725409,5,14.75121314805515,8.95982983725409
principal_5pct,2016-12,2016-12-30,Profuturo,XLB,7.378144358634317e-05,4.481456359185996e-05,1,0.007378144358634317,0.004481456359185996
principal_5pct,2016-12,2016-12-30,Profuturo,XLE,0.0395265190782174,0.0240082548767521,4,3.95265190782174,2.40082548767521
principal_5pct,2016-12,2016-12-30,Profuturo,XLF,0.0399667292995357,0.024275636863307602,4,3.99667292995357,2.4275636863307604
principal_5pct,2016-12,2016-12-30,Profuturo,XLI,0.0100095218947912,0.00607974490162,1,1.00095218947912,0.607974490162
principal_5pct,2016-12,2016-12-30,Profuturo,XLK,0.0003493163930425,0.0002121734266606,1,0.03493163930425,0.02121734266606
principal_5pct,2016-12,2016-12-30,Profuturo,XLP,0.0369208292268107,0.0224255689347256,1,3.69208292268107,2.24255689347256
principal_5pct,2016-12,2016-12-30,Profuturo,XLV,0.0003119354716584,0.0001894683995283,1,0.03119354716584,0.01894683995283
principal_5pct,2016-12,2016-12-30,Profuturo,XLY,0.0198821641821546,0.0120763496588713,1,1.98821641821546,1.20763496588713
principal_5pct,2017-01,2017-01-31,Habitat,EEM,0.0801490850015902,0.049648484809179896,2,8.01490850015902,4.96484848091799
principal_5pct,2017-01,2017-01-31,Habitat,EWJ,0.10756098605097361,0.0666288327796407,5,10.75609860509736,6.662883277964069
principal_5pct,2017-01,2017-01-31,Habitat,LQD,0.0113482587386303,0.0070296978634796,1,1.13482587386303,0.70296978634796
principal_5pct,2017-01,2017-01-31,Habitat,MCHI,0.0086475189382911,0.0053567200752987,1,0.8647518938291099,0.53567200752987
