periodo,afp,fecha_ca,monto_ca_miles_soles,participacion_reportada_suma_pct,registros,registros_pendientes,registros_identificados,fuente,pendientes_pct_registros,fecha_fp,total_fp_miles_soles,suma_fp_pct,diferencia_miles_soles,error_relativo_pct,participacion_calculada_sobre_fp_pct,diferencia_porcentaje_interno_pp,estado_monto,estado_porcentaje_interno,elegible_emisores
2019-06,Profuturo,2019-06-28,5937473.995339023,100.2320405510367,101,22,79,hoja3,21.782178217821784,2019-06-28,5923728.5429859,99.99999999999831,13745.452353122644,0.23204055103771087,100.23204055103771,1.0089706847793423e-12,correcto,correcto,True
2019-07,Habitat,2019-07-31,1297113.2482602652,100.63962438442975,105,15,90,hoja3,14.285714285714285,2019-07-31,1288869.3257692999,100.00000000000776,8243.922490965342,0.6396243844227353,100.63962438442273,7.02016222930979e-12,tolerable,correcto,True
2019-07,Integra,2019-07-31,7791481.935184854,100.15802068342126,108,17,91,hoja3,15.74074074074074,2019-07-31,7779189.207235,100.0,12292.727949853987,0.15802068342059594,100.15802068342059,6.679101716144942e-13,correcto,correcto,True
2019-07,Prima,2019-07-31,6712286.578862055,99.99999999999994,78,18,60,hoja3,23.076923076923077,2019-07-31,6712286.5788621,100.0,-4.470348358154297e-08,6.65994859670031e-13,99.99999999999933,6.110667527536862e-13,correcto,correcto,True
2019-07,Profuturo,2019-07-31,5847294.67889076,100.23660684155637,102,21,81,hoja3,20.588235294117645,2019-07-31,5833492.2371559,99.9999999999983,13802.44173485972,0.23660684155789763,100.2366068415579,1.5347723092418164e-12,correcto,correcto,True
2019-08,Habitat,2019-08-30,1294584.83241994,100.59752799483917,108,17,91,hoja3,15.74074074074074,2019-08-30,1286895.2729003,100.00000000001553,7689.559519639937,0.5975279948235285,100.59752799482354,1.5631940186722204e-11,tolerable,correcto,True
2019-08,Integra,2019-08-30,7640048.649899645,100.16256066371278,108,18,90,hoja3,16.666666666666664,2019-08-30,7627649.0929086,100.00000000000132,12399.556991044432,0.16256066371186711,100.16256066371187,9.094947017729282e-13,correcto,correcto,True
2019-08,Prima,2019-08-30,6512272.1991450675,99.99999999999997,77,18,59,hoja3,23.376623376623375,2019-08-30,6512272.1991451,100.0,-3.259629011154175e-08,5.005363583515571e-13,99.9999999999995,4.689582056016661e-13,correcto,correcto,True
2019-08,Profuturo,2019-08-30,5736686.470836693,100.24174708172679,101,21,80,hoja3,20.792079207920793,2019-08-30,5722851.6439957,99.99999999999825,13834.826840993017,0.24174708172818418,100.24174708172819,1.4068746168049984e-12,correcto,correcto,True
2019-09,Habitat,2019-09-30,1310668.6502113347,100.58634016151903,114,16,98,hoja3,14.035087719298245,2019-09-30,1303028.47097,100.0,7640.179241334787,0.5863401615198237,100.58634016151981,7.815970093361102e-13,tolerable,correcto,True
2019-09,Integra,2019-09-30,7616083.308235014,100.1637586818708,110,20,90,hoja3,18.181818181818183,2019-09-30,7603631.7011869,100.00000000000132,12451.60704811383,0.16375868187000928,100.16375868187002,7.815970093361102e-13,correcto,correcto,True
2019-09,Prima,2019-09-30,6459536.056448854,100.00000000000007,76,18,58,hoja3,23.684210526315788,2019-09-30,6459536.0564487,99.99999999999847,1.5366822481155396e-07,2.3789359401151344e-12,100.00000000000237,2.3021584638627246e-12,correcto,correcto,True
2019-09,Profuturo,2019-09-30,5645315.85939183,100.24548654333795,99,20,79,hoja3,20.2020202020202,2019-09-30,5631491.3060461,99.99999999999822,13824.553345729597,0.24548654334043338,100.24548654334042,2.4726887204451486e-12,correcto,correcto,True
2019-10,Habitat,2019-10-31,1308669.1818697387,100.58797875664592,113,17,96,hoja3,15.04424778761062,2019-10-31,1301019.463803,100.00000000001538,7649.718066738686,0.5879787566265806,100.58797875662657,1.935518412210513e-11,tolerable,correcto,True
2019-10,Integra,2019-10-31,7662246.427150414,100.16146840192572,110,22,88,hoja3,20.0,2019-10-31,7649894.2651317,100.00000000000263,12352.162018714473,0.1614684019230927,100.16146840192309,2.6290081223123707e-12,correcto,correcto,True
2019-10,Prima,2019-10-31,6449506.21753115,100.00000000000001,77,19,58,hoja3,24.675324675324674,2019-10-31,6449506.2175312005,100.00000000000001,-5.029141902923584e-08,7.797716186788457e-13,99.99999999999922,7.958078640513122e-13,correcto,correcto,True
2019-10,Profuturo,2019-10-31,5618658.461168553,100.24385031150747,99,21,78,hoja3,21.21212121212121,2019-10-31,5604990.6739502,100.0,13667.78721835278,0.24385031150676661,100.24385031150678,6.963318810448982e-13,correcto,correcto,True
2019-11,Habitat,2019-11-29,1289973.9910100338,100.35988638046503,115,18,97,hoja3,15.65217391304348,2019-11-30,1285348.1979042,100.00000000000001,4625.793105833698,0.35988638046688026,100.35988638046689,1.8616219676914625e-12,correcto,correcto,True
2019-11,Integra,2019-11-29,7597356.639093611,100.1631229883866,114,21,93,hoja3,18.421052631578945,2019-11-30,7584983.786872,100.00000000000263,12372.852221610956,0.16312298838430928,100.1631229883843,2.3021584638627246e-12,correcto,correcto,True
2019-11,Prima,2019-11-29,6349639.885662791,100.0,77,19,58,hoja3,24.675324675324674,2019-11-30,6349639.885663,100.00000000000315,-2.086162567138672e-07,3.2854817040082337e-12,99.99999999999672,3.282707439211663e-12,correcto,correcto,True
2019-11,Profuturo,2019-11-29,5576528.058476012,100.24487934705078,102,21,81,hoja3,20.588235294117645,2019-11-30,5562905.6514399005,100.0000000000036,13622.40703611169,0.2448793470474494,100.24487934704744,3.339550858072471e-12,correcto,correcto,True
