afp,baseline,fecha_hoy_simulada,segmento,fecha_ultima_cuota_visible,cuotas_ocultas_estimadas,cuota_ultima_visible,cuota_estimada_hoy,cuota_real_hoy,error_pct,error_abs_pct,retorno_estimado_acumulado,retorno_real_acumulado
Habitat,RETORNO_CERO,2015-07-23,entrenamiento,2015-07-17,4,11.5672014,11.5672014,11.4501398,0.010223595697931964,0.010223595697931964,0.0,-0.010120131564407608
Habitat,RETORNO_CERO,2015-07-24,entrenamiento,2015-07-17,5,11.5672014,11.5672014,11.3511882,0.019030007801297932,0.019030007801297932,0.0,-0.018674629457044012
Habitat,RETORNO_CERO,2015-07-27,entrenamiento,2015-07-22,3,11.5126821,11.5126821,11.2818273,0.020462536241801832,0.020462536241801832,0.0,-0.020052217024215335
Habitat,RETORNO_CERO,2015-07-28,entrenamiento,2015-07-23,3,11.4501398,11.4501398,11.3425941,0.009481578821550318,0.009481578821550318,0.0,-0.009392522875572351
Habitat,RETORNO_CERO,2015-07-29,entrenamiento,2015-07-24,3,11.3511882,11.3511882,11.3915697,-0.0035448582647921167,0.0035448582647921167,0.0,0.0035574689881363586
Habitat,RETORNO_CERO,2015-07-30,entrenamiento,2015-07-24,4,11.3511882,11.3511882,11.4133801,-0.005449034331205693,0.005449034331205693,0.0,0.005478888985383845
Habitat,RETORNO_CERO,2015-07-31,entrenamiento,2015-07-24,5,11.3511882,11.3511882,11.4031606,-0.004557718848579584,0.004557718848579584,0.0,0.004578586759754311
Habitat,RETORNO_CERO,2015-08-03,entrenamiento,2015-07-29,3,11.3915697,11.3915697,11.3959931,-0.00038815397317149003,0.00038815397317149003,0.0,0.000388304695181807
Habitat,RETORNO_CERO,2015-08-04,entrenamiento,2015-07-30,3,11.4133801,11.4133801,11.3670419,0.004076539913167698,0.004076539913167698,0.0,-0.004059989205125958
Habitat,RETORNO_CERO,2015-08-05,entrenamiento,2015-07-31,3,11.4031606,11.4031606,11.4172746,-0.0012361969466865297,0.0012361969466865297,0.0,0.0012377270210506275
