escenario,periodo,fecha_cartera,afp,tipo_activo,peso_exterior,peso_total_fondo,identificadores,peso_exterior_pct,peso_total_fondo_pct
ampliado_15pct,2019-03,2019-03-29,Prima,renta_variable,0.8639035455678473,0.5020117097581264,38,86.39035455678473,50.20117097581264
ampliado_15pct,2019-03,2019-03-29,Profuturo,mercados_privados_y_alternativos,0.155899156379679,0.0976759743594945,20,15.589915637967898,9.767597435949451
ampliado_15pct,2019-03,2019-03-29,Profuturo,no_determinado,0.018354788069331288,0.011499881400690222,5,1.8354788069331287,1.1499881400690222
ampliado_15pct,2019-03,2019-03-29,Profuturo,renta_variable,0.8257460555509868,0.5173571969371197,39,82.57460555509869,51.73571969371197
ampliado_15pct,2019-04,2019-04-30,Habitat,mercados_privados_y_alternativos,0.002077485933259322,0.0012322243590009246,3,0.20774859332593218,0.12322243590009245
ampliado_15pct,2019-04,2019-04-30,Habitat,no_determinado,0.0375786497534806,0.022289117275494,7,3.75786497534806,2.2289117275494
ampliado_15pct,2019-04,2019-04-30,Habitat,renta_fija,0.0524169055826702,0.0310901685775026,4,5.2416905582670195,3.1090168577502597
ampliado_15pct,2019-04,2019-04-30,Habitat,renta_variable,0.9079269587305866,0.5385209578706162,64,90.79269587305866,53.852095787061614
ampliado_15pct,2019-04,2019-04-30,Integra,mercados_privados_y_alternativos,0.1273392194787113,0.07662051579949469,19,12.73392194787113,7.66205157994947
ampliado_15pct,2019-04,2019-04-30,Integra,no_determinado,0.033928784207314516,0.02041508466171178,8,3.3928784207314515,2.041508466171178
ampliado_15pct,2019-04,2019-04-30,Integra,renta_fija,1.7095378682153e-07,1.0286357477110489e-07,1,1.7095378682153e-05,1.0286357477110489e-05
ampliado_15pct,2019-04,2019-04-30,Integra,renta_variable,0.8387318253601832,0.5046682816152559,75,83.87318253601832,50.46682816152559
ampliado_15pct,2019-04,2019-04-30,Prima,mercados_privados_y_alternativos,0.1236324175256679,0.07323103014343821,8,12.363241752566791,7.323103014343821
ampliado_15pct,2019-04,2019-04-30,Prima,no_determinado,0.0049937297534911,0.0029579294931296,1,0.49937297534911,0.29579294931295996
ampliado_15pct,2019-04,2019-04-30,Prima,renta_variable,0.8713738527208388,0.5161397483920869,36,87.13738527208388,51.61397483920869
ampliado_15pct,2019-04,2019-04-30,Profuturo,mercados_privados_y_alternativos,0.1542098762285041,0.096710069979682,20,15.42098762285041,9.671006997968199
ampliado_15pct,2019-04,2019-04-30,Profuturo,no_determinado,0.03158411530990209,0.019807434365234182,6,3.158411530990209,1.9807434365234182
ampliado_15pct,2019-04,2019-04-30,Profuturo,renta_variable,0.8142060084615909,0.5106152860113862,39,81.42060084615909,51.06152860113862
ampliado_15pct,2019-05,2019-05-31,Habitat,mercados_privados_y_alternativos,0.003116437454735565,0.0015640499084652775,4,0.3116437454735565,0.15640499084652776
ampliado_15pct,2019-05,2019-05-31,Habitat,no_determinado,0.029128700191914502,0.0146188529468637,4,2.91287001919145,1.46188529468637
ampliado_15pct,2019-05,2019-05-31,Habitat,renta_fija,0.04571307606977256,0.022942071991193795,4,4.571307606977256,2.2942071991193793
ampliado_15pct,2019-05,2019-05-31,Habitat,renta_variable,0.9220417862835742,0.4627461299589595,62,92.20417862835743,46.27461299589595
ampliado_15pct,2019-05,2019-05-31,Integra,mercados_privados_y_alternativos,0.1377416848326658,0.0808125509905786,19,13.77416848326658,8.08125509905786
ampliado_15pct,2019-05,2019-05-31,Integra,no_determinado,0.03516204770808995,0.020629446901242552,7,3.516204770808995,2.0629446901242554
ampliado_15pct,2019-05,2019-05-31,Integra,renta_fija,0.05671455694881317,0.033274226541529374,2,5.671455694881318,3.3274226541529375
ampliado_15pct,2019-05,2019-05-31,Integra,renta_variable,0.7703817105104266,0.45198017824789183,75,77.03817105104265,45.19801782478918
ampliado_15pct,2019-05,2019-05-31,Prima,mercados_privados_y_alternativos,0.1232128946544053,0.0688715545138031,8,12.321289465440529,6.88715545138031
ampliado_15pct,2019-05,2019-05-31,Prima,no_determinado,0.0053687235839943,0.0030009224279789,1,0.5368723583994299,0.30009224279789004
