afp,ticker,nombre,categoria,factor,lag,moneda_modelo,operacion_preferida,factor_sale,correlacion_relevante,mape_base_pct,mape_candidato_pct,mejora_mape_puntos,p90_base_pct,p90_candidato_pct,familia,alpha,half_life,aceptado_validacion
Integra,BTC-USD,Bitcoin,CRIPTO,ret_USD_CRIPTO_BITCOIN,1,USD,AGREGAR,,0.1367601523479729,0.6366845225895563,0.6279554466630848,0.008729075926471541,1.2411911537331388,1.2230477592888807,EW_RIDGE,10.0,500.0,True
Integra,HO=F,Heating Oil,FUTURO_ENERGIA,ret_USD_FUTURO_ENERGIA_HEATING_OIL,0,USD,AGREGAR,,0.3909118449412504,0.6366845225895563,0.6307329983163263,0.00595152427322998,1.2411911537331388,1.2283285098001882,EW_RIDGE,0.1,500.0,True
Integra,BZ=F,Petróleo Brent,FUTURO_ENERGIA,ret_USD_FUTURO_ENERGIA_PETR_LEO_BRENT,0,USD,AGREGAR,,0.4016023900909113,0.6366845225895563,0.6348399379053494,0.0018445846842068958,1.2411911537331388,1.220758385038061,EW_RIDGE,0.001,500.0,False
Integra,ZS=F,Soya,FUTURO_AGRICOLA,ret_USD_FUTURO_AGRICOLA_SOYA,0,USD,AGREGAR,,0.22981800265798003,0.6366845225895563,0.6352433813112852,0.0014411412782711075,1.2411911537331388,1.2226764380530009,EW_RIDGE,0.1,500.0,False
Integra,RB=F,Gasolina RBOB,FUTURO_ENERGIA,ret_USD_FUTURO_ENERGIA_GASOLINA_RBOB,0,USD,AGREGAR,,0.39107817863902383,0.6366845225895563,0.6355329283551153,0.0011515942344410002,1.2411911537331388,1.235221466152217,EW_RIDGE,0.001,500.0,False
Integra,CL=F,Petróleo WTI,FUTURO_ENERGIA,ret_USD_FUTURO_ENERGIA_PETR_LEO_WTI,0,USD,AGREGAR,,0.35966307938783737,0.6366845225895563,0.6357959438303398,0.0008885787592165517,1.2411911537331388,1.2320346426835906,EW_RIDGE,10.0,500.0,False
Integra,HG=F,Cobre,FUTURO_METAL,ret_USD_FUTURO_METAL_COBRE,0,USD,AGREGAR,,0.6129069340713508,0.6366845225895563,0.6358565206347407,0.0008280019548155826,1.2411911537331388,1.2460003668635005,EW_RIDGE,0.001,500.0,False
Integra,ZC=F,Maíz,FUTURO_AGRICOLA,ret_USD_FUTURO_AGRICOLA_MA_Z,0,USD,AGREGAR,,0.15867609654266518,0.6366845225895563,0.6360051066528011,0.0006794159367552455,1.2411911537331388,1.2315428190893576,EW_RIDGE,0.001,500.0,False
Integra,ES=F,E-mini S&P 500,FUTURO_INDICE,ret_USD_FUTURO_INDICE_E_MINI_S_P_500,0,USD,SUSTITUIR,ret_USD_SPY,0.9553466073628263,0.6366845225895563,0.636212087680865,0.00047243490869131044,1.2411911537331388,1.229465532779464,EW_RIDGE,10.0,500.0,False
Integra,LTC-USD,Litecoin,CRIPTO,ret_USD_CRIPTO_LITECOIN,0,USD,AGREGAR,,0.1325998134464497,0.6366845225895563,0.6363259842878968,0.00035853830165955003,1.2411911537331388,1.2442664214686343,EW_RIDGE,10.0,500.0,False
Integra,NG=F,Gas natural,FUTURO_ENERGIA,ret_USD_FUTURO_ENERGIA_GAS_NATURAL,1,USD,AGREGAR,,0.06849218254272701,0.6366845225895563,0.6364589921852263,0.00022553040433004323,1.2411911537331388,1.231911876100984,EW_RIDGE,0.001,500.0,False
Integra,NQ=F,E-mini Nasdaq 100,FUTURO_INDICE,ret_USD_FUTURO_INDICE_E_MINI_NASDAQ_100,0,USD,AGREGAR,,0.8925189099233882,0.6366845225895563,0.6367491285980248,-6.460600846847075e-05,1.2411911537331388,1.2468181942799994,EW_RIDGE,0.001,500.0,False
Integra,SI=F,Plata,FUTURO_METAL,ret_USD_FUTURO_METAL_PLATA,0,USD,AGREGAR,,0.342470191908516,0.6366845225895563,0.6377924897240979,-0.001107967134541532,1.2411911537331388,1.2395445045028854,EW_RIDGE,10.0,500.0,False
Integra,ZW=F,Trigo,FUTURO_AGRICOLA,ret_USD_FUTURO_AGRICOLA_TRIGO,0,USD,AGREGAR,,0.12371263670848004,0.6366845225895563,0.6382016378204868,-0.0015171152309304548,1.2411911537331388,1.2382165397233138,EW_RIDGE,10.0,500.0,False
Integra,PL=F,Platino,FUTURO_METAL,ret_USD_FUTURO_METAL_PLATINO,0,USD,AGREGAR,,0.4208174910145449,0.6366845225895563,0.6389979552346209,-0.0023134326450645615,1.2411911537331388,1.2316981582331659,EW_RIDGE,0.001,500.0,False
Integra,PA=F,Paladio,FUTURO_METAL,ret_USD_FUTURO_METAL_PALADIO,0,USD,AGREGAR,,0.35296964540413467,0.6366845225895563,0.6398020394740087,-0.003117516884452387,1.2411911537331388,1.225212825840801,EW_RIDGE,10.0,500.0,False
Integra,YM=F,E-mini Dow Jones,FUTURO_INDICE,ret_USD_FUTURO_INDICE_E_MINI_DOW_JONES,0,USD,AGREGAR,,0.9305106321444983,0.6366845225895563,0.6405524211243885,-0.0038678985348321593,1.2411911537331388,1.2423840992589066,EW_RIDGE,0.001,500.0,False
Integra,GC=F,Oro,FUTURO_METAL,ret_USD_FUTURO_METAL_ORO,0,USD,AGREGAR,,0.22680091170694386,0.6366845225895563,0.6414353317307465,-0.004750809141190193,1.2411911537331388,1.269036653056799,EW_RIDGE,10.0,500.0,False
Integra,ZB=F,Treasury largo plazo futuro,FUTURO_BONOS,ret_USD_FUTURO_BONOS_TREASURY_LARGO_PLAZO_FUTURO,0,USD,AGREGAR,,0.30281725370382323,0.6366845225895563,0.6415995111518626,-0.004914988562306322,1.2411911537331388,1.2340545267652299,EW_RIDGE,0.001,500.0,False
