periodo,afp,fecha_ca,monto_hojas_miles_soles,registros_hojas,identificadores_unicos,registros_isin,registros_fondo_sin_isin,total_fondo_miles_soles,total_exterior_miles_soles,total_exterior_pct_fp1356,ratio_cobertura_exterior,error_cobertura_pct,factor_reescala,estado_cobertura,elegible_modelo_principal,elegible_analisis_ampliado,cobertura_exterior_pct,exterior_sobre_fondo_pct
2023-04,Prima,2023-04-28,1090790.6454155594,31,31,24,7,3724083.3559793,1250822.7311256,33.587398872725956,0.8720585405687106,12.794145943128942,1.1467120078290303,ampliado,False,True,87.20585405687106,33.58739887272686
2023-04,Profuturo,2023-04-28,1234196.9750098165,72,72,51,21,3857753.7749900003,1534936.5754642,39.78835003455292,0.8040703405849633,19.59296594150367,1.2436722877658906,excluir,False,False,80.40703405849634,39.78835003455291
2023-05,Habitat,2023-05-31,1483539.1426640481,109,109,106,3,3066193.7942664,1518578.7533392,49.52650925648771,0.9769260497039726,2.3073950296027435,1.0236189323675209,operativo,True,True,97.69260497039726,49.5265092564877
2023-05,Integra,2023-05-31,1354209.0665843168,49,49,29,20,4037540.2875195,1730248.2828741,42.85401902297818,0.7826674818800295,21.733251811997047,1.2776818037692335,excluir,False,False,78.26674818800295,42.854019022980296
2023-05,Prima,2023-05-31,1135097.5991721088,36,36,29,7,3590888.5525888,1295703.4882433,36.08308832946601,0.8760473437569124,12.39526562430876,1.1414908191051856,ampliado,False,True,87.60473437569124,36.08308832946601
2023-05,Profuturo,2023-05-31,1323241.7607086445,77,77,56,21,3724782.7393471003,1534511.435639,41.197340704709625,0.8623212118048643,13.767878819513568,1.159660676683309,ampliado,False,True,86.23212118048643,41.19734070470852
2023-06,Habitat,2023-06-30,1601549.7480690074,112,112,109,3,3176959.4191632,1646030.8236154001,51.81151555436016,0.9729767663471253,2.7023233652874734,1.0277737707492531,operativo,True,True,97.29767663471253,51.81151555435854
2023-06,Integra,2023-06-30,1144844.3109060554,51,51,35,16,4000229.9693485,1697338.6970463,42.431027967193046,0.6744937312148174,32.550626878518266,1.4825934678427917,excluir,False,False,67.44937312148174,42.431027967193046
2023-06,Prima,2023-06-30,1206720.9817984295,40,40,33,7,3598295.2223337,1383997.944004,38.46260127334299,0.871909519104706,12.809048089529396,1.1469079968605227,ampliado,False,True,87.1909519104706,38.462601273344056
2023-06,Profuturo,2023-06-30,1347464.9964014331,80,80,59,21,3735256.1158399,1618054.4979993,43.31843514391931,0.8327686107405858,16.723138925941416,1.2008137519865143,excluir,False,False,83.27686107405859,43.31843514391699
2023-07,Habitat,2023-07-31,1707472.5891540477,120,120,117,3,3315349.7826037,1726931.9852240002,52.08898301728233,0.9887318109592901,1.126818904070992,1.0113966081760606,estricto,True,True,98.87318109592901,52.08898301728391
2023-07,Integra,2023-07-31,1389327.5577389284,54,54,38,16,4083571.9287213,1612937.5085820998,39.498202474107096,0.8613647772133823,13.863522278661765,1.160948330433384,ampliado,False,True,86.13647772133824,39.49820247410613
2023-07,Prima,2023-07-31,1225957.3873713058,34,34,27,7,3653833.1314890003,1422718.0865453,38.93768640620648,0.8617008520277013,13.82991479722987,1.1604955451150614,ampliado,False,True,86.17008520277012,38.93768640620755
2023-07,Profuturo,2023-07-31,1493787.8779777286,81,81,60,21,3792530.3381690998,1743626.6272084,45.975284881969216,0.8567131601846028,14.328683981539726,1.1672518253186657,ampliado,False,True,85.67131601846027,45.97528488197043
2023-08,Habitat,2023-08-31,1720746.300982191,121,121,118,3,3341947.186315,1744122.4415479999,52.18880922743234,0.9865971906507542,1.340280934924576,1.0135848849725644,estricto,True,True,98.65971906507542,52.188809227447955
2023-08,Integra,2023-08-31,1435294.6902899535,66,66,50,16,4075844.026975,1613612.30764,39.58964810627424,0.8894916601058613,11.050833989413867,1.1242376346518939,ampliado,False,True,88.94916601058614,39.58964810627425
2023-08,Prima,2023-08-31,1167961.3367122926,35,35,28,7,3636085.359945,1341439.063034,36.892397461590996,0.8706778927927264,12.932210720727355,1.1485303672894103,ampliado,False,True,87.06778927927265,36.89239746160114
