factor,coef_estandarizado,coef_original,coef_abs_estandarizado,retorno_factor,contribucion_retorno,contribucion_puntos_pct,afp,fecha,retorno_real_pct,retorno_estimado_pct,residual_pct,intercepto_pct,ranking_contribucion,columna_modelo,ticker,nombre,grupo,moneda
ret_TLT,-0.0007399539066883648,-0.05579768861783027,0.0007399539066883648,0.0080756954575571,-0.00045060514051319746,-0.04506051405131974,Integra,2026-06-30,1.3681151070292699,1.2746971500817896,0.09341795694748026,0.07580786216622734,18,ret_TLT,TLT,Bonos Tesoro EE. UU. largo plazo,bonos,USD
ret_XLV,-0.0007957677488425182,-0.051728018367561426,0.0007957677488425182,0.0068903128850204,-0.0003564222314745804,-0.03564222314745804,Integra,2026-06-30,1.3681151070292699,1.2746971500817896,0.09341795694748026,0.07580786216622734,19,ret_XLV,XLV,Salud,sector,USD
ret_ILF,0.00037595922533294527,0.020432816045062512,0.00037595922533294527,0.0173774382143596,0.00035506999836844934,0.03550699983684493,Integra,2026-06-30,1.3681151070292699,1.2746971500817896,0.09341795694748026,0.07580786216622734,20,ret_ILF,ILF,América Latina,mercado,USD
ret_SPY,0.00014155477086736179,0.010075961580051003,0.00014155477086736179,0.0280336906333544,0.00028246638976871463,0.028246638976871463,Integra,2026-06-30,1.3681151070292699,1.2746971500817896,0.09341795694748026,0.07580786216622734,21,ret_SPY,SPY,Estados Unidos - S&P 500,mercado,USD
ret_XLY,-0.00020185895541133,-0.01271447271906971,0.00020185895541133,0.021483980916648,-0.00027315748926173524,-0.027315748926173524,Integra,2026-06-30,1.3681151070292699,1.2746971500817896,0.09341795694748026,0.07580786216622734,22,ret_XLY,XLY,Consumo discrecional,sector,USD
ret_USO,-0.000489537410618928,-0.0175880945201003,0.000489537410618928,0.0139935380927118,-0.00024611967064523926,-0.024611967064523926,Integra,2026-06-30,1.3681151070292699,1.2746971500817896,0.09341795694748026,0.07580786216622734,23,ret_USO,USO,Petróleo,materia_prima,USD
ret_XLP,-0.0007345602577039347,-0.05220733587517504,0.0007345602577039347,0.0043725323548389,-0.00022827826527414447,-0.022827826527414448,Integra,2026-06-30,1.3681151070292699,1.2746971500817896,0.09341795694748026,0.07580786216622734,24,ret_XLP,XLP,Consumo básico,sector,USD
ret_DX_Y_NYB,-0.0007006230201057033,-0.196989132573864,0.0007006230201057033,0.0007912355906611,-0.00015586481266589904,-0.015586481266589904,Integra,2026-06-30,1.3681151070292699,1.2746971500817896,0.09341795694748026,0.07580786216622734,25,ret_DX_Y_NYB,DX-Y.NYB,Índice dólar DXY,moneda,INDICE
ret_CPER,5.8705497075569e-05,0.002425590731381865,5.8705497075569e-05,0.0337902943583718,8.196142480633156e-05,0.008196142480633157,Integra,2026-06-30,1.3681151070292699,1.2746971500817896,0.09341795694748026,0.07580786216622734,26,ret_CPER,CPER,Cobre,materia_prima,USD
ret_MCHI,-5.006537840254967e-05,-0.002991377790381344,5.006537840254967e-05,0.024910680154198,-7.45172553565612e-05,-0.00745172553565612,Integra,2026-06-30,1.3681151070292699,1.2746971500817896,0.09341795694748026,0.07580786216622734,27,ret_MCHI,MCHI,China,region,USD
ret_XLK,0.0011123071060425344,0.06345372140782975,0.0011123071060425344,0.048204697283489,0.0030587674319752785,0.30587674319752783,Prima,2026-06-30,1.47770174438699,1.3059764639181004,0.1717252804688898,0.08123751004773165,1,ret_XLK,XLK,Tecnología,sector,USD
ret_EEM,0.0014761179558907362,0.0873024693001931,0.0014761179558907362,0.0349160767841585,0.0030482597215321823,0.3048259721532182,Prima,2026-06-30,1.47770174438699,1.3059764639181004,0.1717252804688898,0.08123751004773165,2,ret_EEM,EEM,Mercados emergentes,mercado,USD
ret_EPU,0.0019125232969993808,0.08971030334333804,0.0019125232969993808,0.0329560206594901,0.002956494610352172,0.2956494610352172,Prima,2026-06-30,1.47770174438699,1.3059764639181004,0.1717252804688898,0.08123751004773165,3,ret_EPU,EPU,Perú - ETF,mercado,USD
ret_COPX,0.0018969693994537618,0.07096442577701832,0.0018969693994537618,0.0366565268499305,0.0026013093788851724,0.2601309378885172,Prima,2026-06-30,1.47770174438699,1.3059764639181004,0.1717252804688898,0.08123751004773165,4,ret_COPX,COPX,Mineras de cobre,materia_prima,USD
ret_PEN_X,-0.0016165205977202392,-0.12657904065957823,0.0016165205977202392,0.0200904493159528,-0.002543029800833185,-0.2543029800833185,Prima,2026-06-30,1.47770174438699,1.3059764639181004,0.1717252804688898,0.08123751004773165,5,ret_PEN_X,PEN=X,Tipo de cambio USD/PEN,moneda,PEN_POR_USD
ret_HYG,-0.0012064874323694694,-0.09543221690995483,0.0012064874323694694,0.01958043736569,-0.0018686045458743128,-0.18686045458743128,Prima,2026-06-30,1.47770174438699,1.3059764639181004,0.1717252804688898,0.08123751004773165,6,ret_HYG,HYG,Bonos corporativos alto rendimiento,bonos,USD
ret_XLI,0.0008320734058611496,0.05489603492501593,0.0008320734058611496,0.0338769711520747,0.0018597113915180498,0.18597113915180497,Prima,2026-06-30,1.47770174438699,1.3059764639181004,0.1717252804688898,0.08123751004773165,7,ret_XLI,XLI,Industria,sector,USD
