identificador,motivo_revision,accion_sugerida,ticker_provisional,nombre_provisional,peso_max_total_fondo_pct,meses_presentes,peso_universo_pct,meses_universo,gestora_reportada,lista_afp,peso_prioridad_pct,meses_prioridad
LU196682546X,correccion_checksum_propuesta,revisar contra LU1966825462 (alta),BEBEFIE,BERENBERG EUROPEAN FOC-I EUR,0.0525039453511732,24,0.0525039453511732,24,"Joh. Berenberg, | Joh. Berenberg, Gossier & Co. KG",Habitat,0.0525039453511732,24
CA69480U2065,sin_coincidencia,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.0441227926087273,1,0.0441227926087273,1,Pacific Rubiale,Prima,0.0441227926087273,1
PRIVFAEIEF6S,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.0414638961782317,13,0.0414638961782317,13,InfraVia GP VI Sàrl,Habitat,0.0414638961782317,13
AMERICAMOVIL,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.0287383723819486,4,0.0287383723819486,4,BON EMP PRI EXT,Integra,0.0287383723819486,4
AMERICAMOVIL,correccion_checksum_propuesta,revisar contra AMERICAMOVI4 (baja),,,0.0287383723819486,4,0.0287383723819486,4,BON EMP PRI EXT,Integra,0.0287383723819486,4
IE00BGGJJ945,sin_coincidencia,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.0105924328911613,33,0.0105924328911613,33,Baillie Gifford | Baillie Gifford & Co Ltd,Habitat,0.0105924328911613,33
PRIVFAEVECIX,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.0023568117577971,3,0.0023568117577971,3,"Veritas Capital Partners IX, L.L.C",Habitat,0.0023568117577971,3
PRIVFAEICG9F,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.0004949905105964,3,0.0004949905105964,3,ICG EUROPE FUND VI FEEDER LIMITED PARTNERSHIP,Habitat,0.0004949905105964,3
US05367G1004,sin_coincidencia,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.0003973007967107,11,0.0003973007967107,11,Avianca Holding,Integra,0.0003973007967107,11
IE00BKLWXN8X,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,3.1124208276783104e-05,8,3.1124208276783104e-05,8,THE VANGUARD GROUP INC.,Integra,3.1124208276783104e-05,8
IE00BKLWXN8X,correccion_checksum_propuesta,revisar contra IE00BKLWXN81 (alta),VEMBIPU,VANGUARD EMERMKT BD-IPUSDHA,3.1124208276783104e-05,8,3.1124208276783104e-05,8,THE VANGUARD GROUP INC.,Integra,3.1124208276783104e-05,8
IE00BKLWXM7X,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,1.686210692694723e-05,8,1.686210692694723e-05,8,THE VANGUARD GROUP INC.,Integra,1.686210692694723e-05,8
IE00BKLWXM7X,correccion_checksum_propuesta,revisar contra IE00BKLWXM74 (alta),VEMBIUA,VANGUARD EMER MKT BD-I USDHA,1.686210692694723e-05,8,1.686210692694723e-05,8,THE VANGUARD GROUP INC.,Integra,1.686210692694723e-05,8
