afp,factor,rezago_dias_mercado,correlacion_raw,correlacion_winsorizada,observaciones,correlacion_abs_raw,correlacion_abs_winsorizada,cambio_por_extremos
Habitat,ret_VGK,3,0.03349951089298588,0.031094223883842517,2559,0.03349951089298588,0.031094223883842517,-0.0024052870091433656
Habitat,ret_EWJ,0,0.32805010152265834,0.30830501027514934,2672,0.32805010152265834,0.30830501027514934,-0.019745091247509006
Habitat,ret_EWJ,1,0.12901949024204942,0.1364985096986799,2565,0.12901949024204942,0.1364985096986799,0.007479019456630487
Habitat,ret_EWJ,2,0.026277638691037216,0.011788289610387418,2563,0.026277638691037216,0.011788289610387418,-0.014489349080649798
Habitat,ret_EWJ,3,0.0024989976795893537,0.003844720971665564,2559,0.0024989976795893537,0.003844720971665564,0.00134572329207621
Habitat,ret_MCHI,0,0.34119006942853525,0.3349774830051724,2672,0.34119006942853525,0.3349774830051724,-0.006212586423362865
Habitat,ret_MCHI,1,0.15612128903268885,0.16539253462005313,2565,0.15612128903268885,0.16539253462005313,0.00927124558736428
Habitat,ret_MCHI,2,0.03736381465746608,0.035170648477573584,2563,0.03736381465746608,0.035170648477573584,-0.002193166179892493
Habitat,ret_MCHI,3,0.003947471744072058,0.006736082832323998,2559,0.003947471744072058,0.006736082832323998,0.0027886110882519403
Habitat,ret_XLK,0,0.3688653528978853,0.35406137195768667,2672,0.3688653528978853,0.35406137195768667,-0.014803980940198636
Habitat,ret_XLK,1,0.16888622825330007,0.19179911776859834,2565,0.16888622825330007,0.19179911776859834,0.022912889515298268
Habitat,ret_XLK,2,0.026872632695489732,0.020425940572488872,2563,0.026872632695489732,0.020425940572488872,-0.00644669212300086
Habitat,ret_XLK,3,0.013223611065253441,0.011893951695040745,2559,0.013223611065253441,0.011893951695040745,-0.001329659370212696
Habitat,ret_XLF,0,0.32629100067819544,0.3068272426716903,2672,0.32629100067819544,0.3068272426716903,-0.019463758006505127
Habitat,ret_XLF,1,0.14865324818944015,0.17019139957199883,2565,0.14865324818944015,0.17019139957199883,0.021538151382558685
Habitat,ret_XLF,2,0.050932521370416685,0.0409847612139222,2563,0.050932521370416685,0.0409847612139222,-0.009947760156494484
Habitat,ret_XLF,3,0.03306888989807643,0.03063347782091002,2559,0.03306888989807643,0.03063347782091002,-0.00243541207716641
Habitat,ret_XLE,0,0.3212368773153051,0.3016248947882374,2672,0.3212368773153051,0.3016248947882374,-0.019611982527067695
Habitat,ret_XLE,1,0.1395143491619255,0.15454414629000685,2565,0.1395143491619255,0.15454414629000685,0.015029797128081335
Habitat,ret_XLE,2,0.022979329770141957,0.010403604881710937,2563,0.022979329770141957,0.010403604881710937,-0.01257572488843102
Habitat,ret_XLE,3,0.04190545200190003,0.026863874484359354,2559,0.04190545200190003,0.026863874484359354,-0.015041577517540677
Habitat,ret_XLB,0,0.3514938048562,0.3327298545924102,2672,0.3514938048562,0.3327298545924102,-0.018763950263789797
Habitat,ret_XLB,1,0.15959744785201077,0.1748948098992679,2565,0.15959744785201077,0.1748948098992679,0.015297362047257124
Habitat,ret_XLB,2,0.04111278337298737,0.02939910184404952,2563,0.04111278337298737,0.02939910184404952,-0.011713681528937848
Habitat,ret_XLB,3,0.029142709398062547,0.02634452412848478,2559,0.029142709398062547,0.02634452412848478,-0.002798185269577768
Habitat,ret_XLI,0,0.35045923208608387,0.32895988992564695,2672,0.35045923208608387,0.32895988992564695,-0.02149934216043692
Habitat,ret_XLI,1,0.16138226272933853,0.17586378940087086,2565,0.16138226272933853,0.17586378940087086,0.014481526671532324
Habitat,ret_XLI,2,0.03971732125875293,0.027112586387036577,2563,0.03971732125875293,0.027112586387036577,-0.012604734871716351
Habitat,ret_XLI,3,0.02635047670220203,0.02157090210499772,2559,0.02635047670220203,0.02157090210499772,-0.004779574597204312
Habitat,ret_XLV,0,0.23021524513886743,0.2153427939324663,2672,0.23021524513886743,0.2153427939324663,-0.014872451206401127
Habitat,ret_XLV,1,0.12176958245786404,0.13639829002972473,2565,0.12176958245786404,0.13639829002972473,0.014628707571860688
Habitat,ret_XLV,2,0.013855128533963854,0.005046164524104127,2563,0.013855128533963854,0.005046164524104127,-0.008808964009859727
Habitat,ret_XLV,3,0.005225864565298751,0.012514199254269404,2559,0.005225864565298751,0.012514199254269404,0.007288334688970654
Habitat,ret_XLY,0,0.33967322375199077,0.32375669192718304,2672,0.33967322375199077,0.32375669192718304,-0.015916531824807734
Habitat,ret_XLY,1,0.17295684503756048,0.18805642910734774,2565,0.17295684503756048,0.18805642910734774,0.015099584069787259
Habitat,ret_XLY,2,0.04726438420573977,0.03701610631666106,2563,0.04726438420573977,0.03701610631666106,-0.010248277889078714
Habitat,ret_XLY,3,0.01641400999570845,0.013317466814606979,2559,0.01641400999570845,0.013317466814606979,-0.003096543181101471
Habitat,ret_XLP,0,0.15095432744909762,0.13351110098846247,2672,0.15095432744909762,0.13351110098846247,-0.017443226460635147
Habitat,ret_XLP,1,0.07927331369730393,0.09410712828543177,2565,0.07927331369730393,0.09410712828543177,0.014833814588127839
Habitat,ret_XLP,2,0.010861966013022582,0.003575365933300067,2563,0.010861966013022582,0.003575365933300067,-0.007286600079722515
Habitat,ret_XLP,3,-0.010875620239349449,-0.002585438835657829,2559,0.010875620239349449,0.002585438835657829,0.008290181403691619
Habitat,ret_GLD,0,0.10690797842338676,0.0847832330599254,2672,0.10690797842338676,0.0847832330599254,-0.02212474536346136
Habitat,ret_GLD,1,0.007379431261010592,0.007048659127304821,2565,0.007379431261010592,0.007048659127304821,-0.0003307721337057713
Habitat,ret_GLD,2,-0.00582286465232799,-0.002586140336306931,2563,0.00582286465232799,0.002586140336306931,0.003236724316021059
Habitat,ret_GLD,3,0.0030324097657930408,0.008243952682786876,2559,0.0030324097657930408,0.008243952682786876,0.0052115429169938355
Habitat,ret_CPER,0,0.22214085702219574,0.2475555690408979,2672,0.22214085702219574,0.2475555690408979,0.025414712018702157
Habitat,ret_CPER,1,0.0556354850544182,0.07387438509217581,2565,0.0556354850544182,0.07387438509217581,0.018238900037757612
Habitat,ret_CPER,2,0.030356340020519238,0.03453909130507408,2563,0.030356340020519238,0.03453909130507408,0.00418275128455484
Habitat,ret_CPER,3,0.02025896922060413,0.04095454506573701,2559,0.02025896922060413,0.04095454506573701,0.020695575845132878
Habitat,ret_COPX,0,0.4679466216912624,0.4518437057077432,2672,0.4679466216912624,0.4518437057077432,-0.016102915983519206
Habitat,ret_COPX,1,0.1617852481728891,0.17604008797494244,2565,0.1617852481728891,0.17604008797494244,0.014254839802053332
Habitat,ret_COPX,2,0.053142727525170054,0.05374573227947635,2563,0.053142727525170054,0.05374573227947635,0.0006030047543062952
Habitat,ret_COPX,3,0.021083358410211167,0.01711470604796892,2559,0.021083358410211167,0.01711470604796892,-0.003968652362242246
Habitat,ret_USO,0,0.16676216757645512,0.17357805820865393,2672,0.16676216757645512,0.17357805820865393,0.006815890632198812
