fecha_cartera,afp,fondo,instrumento_id,tipo_id,moneda,peso_fondo,peso_fondo_pct,monto_miles_soles,archivo,grupo,entidad_administradora,isin,estado_identificacion,estado_cobertura,fuente_precio_sugerida,ticker_precio,proxy_si_no_hay_precio,estado_mapeo_precio
2026-01-30,Habitat,3,LU0794787092,isin,USD,4.575316956415805e-07,4.575316956415805e-05,2.281360116499169,CA-0001-en2026.XLS,127,Ashmore Investment Management (Ireland) Limit,LU0794787092,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,FR0010589325,isin,EUR,3.677183778316393e-07,3.6771837783163926e-05,1.8335298937323168,CA-0001-en2026.XLS,107,Groupama Asset Management,FR0010589325,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,IE00B3SHFF36,isin,USD,2.361562472548072e-07,2.3615624725480714e-05,1.177530319497872,CA-0001-en2026.XLS,92,Nomura Asset Management UK Ltd.,IE00B3SHFF36,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,LU1564424452,isin,USD,1.691558433351679e-07,1.6915584333516788e-05,0.8434506245878601,CA-0001-en2026.XLS,129,Edmond de Rothschild Asset Management Luxembo,LU1564424452,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,LU1932874412,isin,USD,1.4337151147780217e-07,1.4337151147780215e-05,0.7148839113080572,CA-0001-en2026.XLS,131,BlueBay Funds Management Company S.A.,LU1932874412,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,LU1713307699,isin,USD,1.363501338244549e-07,1.3635013382445487e-05,0.6798736790251045,CA-0001-en2026.XLS,132,Schroder Investment Management (Europe) SA,LU1713307699,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,LU1959967503,isin,EUR,1.0910334364422082e-07,1.091033436442208e-05,0.5440148062695397,CA-0001-en2026.XLS,133,"Joh. Berenberg, Gossier & Co. KG",LU1959967503,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,LU2058011201,isin,EUR,9.738516515466749e-08,9.738516515466747e-06,0.4855852257645255,CA-0001-en2026.XLS,78,DWS INVESTMENT SA,LU2058011201,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,IE00B3CTFW2X,isin,EUR,3.3329098269070834e-08,3.3329098269070835e-06,0.1661866844073339,CA-0001-en2026.XLS,95,GAM International Management Limited,IE00B3CTFW2X,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,LU0721876877,isin,USD,2.2406699471128533e-08,2.240669947112853e-06,0.1117250476912534,CA-0001-en2026.XLS,83,"Matthews International Capital Management,LLC",LU0721876877,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,LU0113993397,isin,EUR,1.8537641861761863e-08,1.8537641861761856e-06,0.0924330209256119,CA-0001-en2026.XLS,150,Janus Henderson Investors Europe S.A.,LU0113993397,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,IE00BD4GV785,isin,USD,1.5723355624945463e-08,1.5723355624945463e-06,0.0784003310852231,CA-0001-en2026.XLS,80,FRANKLIN TEMPLETON INTERNATIONAL SERVICES S.A,IE00BD4GV785,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,IE00B29K0P99,isin,USD,1.3491985082278886e-08,1.3491985082278883e-06,0.0672741953231261,CA-0001-en2026.XLS,110,PIMCO Global Advisors (Ireland) Limited,IE00B29K0P99,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,IE00BYPC7R45,isin,USD,1.2400258056359162e-08,1.2400258056359162e-06,0.0618305888609662,CA-0001-en2026.XLS,126,UTI International (Singapore) Private Limited,IE00BYPC7R45,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,GB00BZ2YND85,isin,GBP,2.9687978397209827e-09,2.9687978397209826e-07,0.0148031208548097,CA-0001-en2026.XLS,119,Jupiter Unit Trust Managers Limited,GB00BZ2YND85,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Integra,3,US92189F6768,isin,USD,0.0940541816247544,9.405418162475442,319562.5727575094,CA-0001-en2026.XLS,85,VAN ECK ASSOCIATES CORPORATION,US92189F6768,isin,ampliado,mapear_isin_a_ticker,,,pendiente
2026-01-30,Integra,3,US46090E1038,isin,USD,0.0568041750089242,5.680417500892427,193000.33231528377,CA-0001-en2026.XLS,134,Invesco Capital Management LLC,US46090E1038,isin,ampliado,mapear_isin_a_ticker,,,pendiente
2026-01-30,Integra,3,US46434G1031,isin,USD,0.0423949402046243,4.239494020462435,144042.8902751181,CA-0001-en2026.XLS,75,BlackRock Fund Advisors,US46434G1031,isin,ampliado,mapear_isin_a_ticker,,,pendiente
